source,translated,language
translate to Marathi: Georgian Supplement,जॉर्जियन पुरवणीKCharselect unicode block name,Marathi
translate to Marathi: Wood burns.,लाकुड जळतं.,Marathi
translate to Marathi: Media change: please insert the disc labeled '%s' in the drive '%s' and press enter,माध्यम बदल: कृपया नाव घातलेली सीडी घाला %s' '%s' ड्राईव्ह मध्ये व एंटर कळ दाबा,Marathi
translate to Marathi: Yours is over there.,तुझी तिथे आहे.,Marathi
translate to Marathi: Indian agriculture.,भारतीय शेती।,Marathi
translate to Marathi: Karin is Austrian.,कॅरिन ऑस्ट्रियन आहे.,Marathi
translate to Marathi: with yo,यो सहdictionary variant,Marathi
translate to Marathi: System status information,प्रणाली कार्यपद्धती माहितीName,Marathi
translate to Marathi: Do not fear the devil!,सैतानाला भिऊ नका!,Marathi
translate to Marathi: US English,US अंग्रेजीName,Marathi
translate to Marathi: I never learned how to use a microwave oven.,मायक्रोव्हेव ओव्हन कसा वापरतात हे मी कधी शिकलो नाही.,Marathi
translate to Marathi: You are very brave.,तुम्ही अतिशय शूर आहात.,Marathi
translate to Marathi: Embeddable component for multipart/mixed,मल्टीपार्ट/ मिक्स्ड करीता अंतर्भूतीत घटक,Marathi
translate to Marathi: Russian Ruble,रशियाName,Marathi
translate to Marathi: Hide filtered images,फिल्टर केलेले प्रतिमा लपवा,Marathi
translate to Marathi: Nobody knew that you were in Germany.,तू जर्मनीत होतास हे कोणालाही माहीत नव्हतं.,Marathi
translate to Marathi: Are you a Japanese student?,तुम्ही जपानी विद्यार्थी आहात का?,Marathi
translate to Marathi: That's what I want most right now.,मला या वेळी सर्वात जास्त तेच हवय.,Marathi
"translate to Marathi: Enter the parent folder For instance, if the current location is file: / home/ %1 clicking this button will take you to file: / home.","मुख्य संचयीका प्रविष्ट करा उदाहरणार्थ, वर्तमान स्थान file: / home /% 1 असल्यावर या बटणावर क्लिक केल्यास file: / home कडे नेते.",Marathi
translate to Marathi: Dual Channel VU-Meter,ड्यूअल चैनल वीयू- मीटरName,Marathi
translate to Marathi: This surprised many people.,ह्याने अनेक लोकांना आश्चर्य झाला.,Marathi
translate to Marathi: _Import,आयात करा (_I),Marathi
translate to Marathi: Visited Text on Normal Background,सर्वसाधारण पार्श्वभूमी,Marathi
translate to Marathi: This is a list of installed themes. Click the one to be used.,हे प्रतिष्ठापीत सुत्रयोजनाचा यादी आहे. वापरण्याजोगी करीता क्लिक करा.,Marathi
translate to Marathi: & Moving,हलवित आहे (M),Marathi
translate to Marathi: He works as a gondolier in Venice.,तो व्हेनिसमध्ये गोन्डोलाचालक म्हणून काम करतो.,Marathi
translate to Marathi: Previous in History,यादीतील मागील बाब,Marathi
translate to Marathi: & Moving/ resizing,हलविणे/ पुन्हाआकारन (M),Marathi
translate to Marathi: Data Rate,दर,Marathi
translate to Marathi: We were talking.,आम्ही बोलत होतो.,Marathi
translate to Marathi: WordReference. com Translation: English to French,WordReference. com अनुवादः अंग्रेजी ते फ्रांसीसीQuery,Marathi
translate to Marathi: Find Prev,मागील शोधा@ action,Marathi
translate to Marathi: I want to wait for Tom.,मला टॉमची वाट बघायची आहे.,Marathi
"translate to Marathi: Explain it once more, Jerry.","पुन्हा एकदा समजव, जेरी.",Marathi
translate to Marathi: Storage Access,बॅटरी मॉनिटरGenericName,Marathi
translate to Marathi: Unified Canadian Aboriginal Syllabics Extended,कॅनेडियन आदिवासी अक्षरे एकत्रितKCharselect unicode block name,Marathi
translate to Marathi: Big,मोठे@ title: group Date,Marathi
translate to Marathi: Myanmar,म्यानमारName,Marathi
translate to Marathi: Create _DTS Tracks,DTS गाणी निर्माण करा (_D),Marathi
translate to Marathi: Tom didn't understand the joke Mary told.,मेरीने सांगितलेला जोक टॉमला कळला नाही.,Marathi
translate to Marathi: This is communism.,हे साम्यवाद आहे.,Marathi
translate to Marathi: Take two capsules after a meal.,जेवणानंतर दोन कॅप्सुल घे.,Marathi
translate to Marathi: I like winter.,मला हिवाळा आवडतो.,Marathi
"translate to Marathi: My house, my rules.","माझं घर, माझे नियम.",Marathi
translate to Marathi: Quit a D-Bus enabled application easily,D- Bus आधारित अनुप्रयोगातून सहज बाहेर पडा,Marathi
translate to Marathi: Notifications,सूचनाName,Marathi
translate to Marathi: Enabling channel '%s' failed,'%s' हे माध्यम कार्यान्वित करण्यास अपयश,Marathi
"translate to Marathi: ""%s"" is a virtual package provided by:","""%s"" हे आभासी पॅकेज ः ने पुरवलेले आहे.",Marathi
translate to Marathi: & Available:,उपलब्ध (A):,Marathi
translate to Marathi: Pinned packages:,एकत्रित पॅकेजेस:,Marathi
translate to Marathi: He got home at seven sharp.,तो बरोब्बर सात वाजता घरी पोचला.,Marathi
translate to Marathi: British English,ब्रितानी अंग्रेज़ीName,Marathi
translate to Marathi: The rating could not be submitted.,दर्जा सादर केला जाऊ शकला नाही.,Marathi
translate to Marathi: Color Scheme,रंग सुत्रयोजनाplasma name,Marathi
translate to Marathi: He asked about you.,त्याने तुझ्याबद्दल विचारलं.,Marathi
translate to Marathi: Base Card:,मुळ पत्ता:,Marathi
translate to Marathi: Hong Kong SAR(China),हांगकांग एसएआर( चीन) Name,Marathi
translate to Marathi: I want you back.,मला तू परत हवा आहेस.,Marathi
translate to Marathi: There's no wind here.,इथे हवा नाहीये.,Marathi
translate to Marathi: Look someplace else.,दुसरीकडे कुठेतरी शोध.,Marathi
translate to Marathi: Finished,पूर्ण झाले,Marathi
translate to Marathi: We ate sandwiches for breakfast.,आपण नाश्त्यासाठी सँडविच खाल्ले.,Marathi
translate to Marathi: Tell me what you want.,तुला काय हवय मला सांग.,Marathi
translate to Marathi: /Sort objects/Default/by _type,/घटक क्रमवारीत लावा/मुलभूत/प्रकार नुरूप (_t),Marathi
"translate to Marathi: A neutral country is a country that doesn't sell weapons to a warring country, unless you pay cash.","तटस्थ देश म्हणजे तो देश जो युद्ध करणार्‍या देशाला शस्त्र पुरवत नाही, शिवाय जर तुम्ही कॅश द्यायला तयार असाल तर.",Marathi
translate to Marathi: Peftoou,Coptic weekday 4 - LongDayName,Marathi
translate to Marathi: Homepage,मुख्यपान,Marathi
translate to Marathi: Desktops,डेस्कटॉप% 1,Marathi
translate to Marathi: Install a minimal system,किमान प्रणाली स्थापित करा,Marathi
translate to Marathi: He came by bus.,ते बसने आले.,Marathi
translate to Marathi: She stayed there for a moment.,ती तिथे एक क्षण राहिली.,Marathi
translate to Marathi: Rynok Square is the historic centre of the city.,रिनॉक चौक या शहराचं ऐतिहासिक केंद्र आहे.,Marathi
translate to Marathi: There are many books in my room.,खोलीत भरपूर पुस्तकं आहेत.,Marathi
translate to Marathi: I put on a cap when I go to school.,मी शाळेत जाताना एक टोपी घालते.,Marathi
translate to Marathi: server GLX vendor,सर्वर GLX विक्रेता,Marathi
translate to Marathi: Israel is a developed country.,इस्रायल हा एक विकसित देश आहे.,Marathi
translate to Marathi: Select Font to View,दृश्य करीता फॉन्ट निवडा,Marathi
"translate to Marathi: Ignorance and fear, those are the two pillars of any religion.","अज्ञान व भय, कोणत्याही धर्माचे दोन खांब.",Marathi
translate to Marathi: He ran away with the money.,तो पैसे घेऊन पळाला.,Marathi
translate to Marathi: I am yours and you are mine.,मी तुझी आहे व तू माझी.,Marathi
translate to Marathi: I didn't do anything wrong.,मी काहीही चुकीचं केलं नाही.,Marathi
translate to Marathi: Could not create temporary file.,तात्पूर्ती फाइल बनवू शकले नाही.,Marathi
translate to Marathi: Quit Brasero,ब्रसेरो मधून बाहेर पडा,Marathi
translate to Marathi: Has something happened?,काही झालंय का?,Marathi
translate to Marathi: Major Number,मुख्य क्रमांक,Marathi
translate to Marathi: Disable Actions for Windows of Type WM_CLASS,WM_ CLASS प्रकारचे चौकट करीता क्रिया अकार्यान्वीत करा (i),Marathi
translate to Marathi: He wants to learn some English songs.,त्याला काही इंग्रजी गाणी शिकायची आहेत.,Marathi
translate to Marathi: Adding of files to SVN repository failed.,@ info: status,Marathi
translate to Marathi: Secure FTP,सुरक्षीत FTP,Marathi
translate to Marathi: An open source version of Marathon Infinity for SDL,SDL करीता मेराथन इनफिनिटीची ओपन सोर्स आवृत्तीName,Marathi
translate to Marathi: Who built it?,ते कोणी बांधलं?,Marathi
translate to Marathi: & Accept Configuration,संयोजना स्वीकारा (A),Marathi
translate to Marathi: Syriac,शिरियक,Marathi
translate to Marathi: The current action has unsaved changes. If you continue these changes will be lost.,वर्तमान क्रिया अंतर्गत संचयीत न केलेले बदलाव समाविष्टीत आहे. पुढे कार्यरत राहिल्यास बदलाव लुप्त होतिल!,Marathi
translate to Marathi: I went out with my friends.,मी माझ्या मित्र-मैत्रिणींबरोबर बाहेर गेले.,Marathi
translate to Marathi: Shrink Font,फॉन्ट आकुंचीत करा,Marathi
translate to Marathi: No additional information collected.,अधिक माहिती गोळा केली नाही.,Marathi
translate to Marathi: Zoom &Out,लहान करा (O),Marathi
translate to Marathi: V.120 V.24 rate ISDN,V. 120 V. 24 दर ISDN,Marathi
translate to Marathi: I like to decorate my room with flowers.,मला माझी खोली फुलांनी सजवायला आवडते.,Marathi
translate to Marathi: ^Install Ubuntu MID,^उबुन्टू MID स्थापित करा,Marathi
translate to Marathi: I don't like what he said.,त्याने जे म्हटलं ते मला आवडलं नाही.,Marathi
translate to Marathi: Aumix,ऑमिक्सGenericName,Marathi
translate to Marathi: Select All,सर्व निवडा,Marathi
translate to Marathi: Packages,पॅकेजेस,Marathi
translate to Marathi: Church Slavic,चर्च स्लाविकName,Marathi
translate to Marathi: They need our help.,त्यांना आमच्या मदतीची गरज आहे.,Marathi
translate to Marathi: The boy fell from the bridge.,तो मुलगा पुलावरून पडला.,Marathi
translate to Marathi: Draw shadows under windows,चौकट अंतर्गत छाया काढाName,Marathi
translate to Marathi: I understand Tom.,मला टॉम समजतो.,Marathi
translate to Marathi: Toggle ^Rejected,टाॅगल परतवले नापसंत,Marathi
translate to Marathi: [held],(तसेच धरुन ठेवले),Marathi
translate to Marathi: of Safar,सफर चा,Marathi
translate to Marathi: Customize the desktop background,डेस्कटॉप पार्श्वभूमी इच्छिक करा,Marathi
translate to Marathi: Configuration information reloaded successfully.,संयोजना माहिती यशस्वीपणे पुन्ह दाखल झाले.,Marathi
translate to Marathi: We were in a hurry.,आपण घाईत होतो.,Marathi
translate to Marathi: KFontView,केफॉन्टव्यूGenericName,Marathi
translate to Marathi: Icon chooser dialog,चिन्ह निवडकर्ता संवाद,Marathi
translate to Marathi: Logic Games,तर्क खेळName,Marathi
translate to Marathi: & Setup...,मांडणी (S)...,Marathi
translate to Marathi: Tell her that I am playing with the kids.,तिला सांग की मी मुलांबरोबर खेळतोय.,Marathi
translate to Marathi: She hasn't done anything.,तिने काहीही केलं नाहीये.,Marathi
translate to Marathi: I think that Esperanto is a difficult language.,मला वाटतं की एस्पेरांतो एक कठीण भाषा आहे.,Marathi
translate to Marathi: of Jumaada al-Awal,जमादिल थानी चा,Marathi
translate to Marathi: Azerbaijani,अजरबेजानीName,Marathi
translate to Marathi: I'll wait outside.,मी बाहेर जाऊन वाट बघते.,Marathi
translate to Marathi: Normal tab title format,सर्वसाधारण टॅब शिर्षक स्वरूपन,Marathi
translate to Marathi: Albanian,अल्बानियाईName,Marathi
translate to Marathi: Cannot specify a subsystem and command at the same time.,त्रुटी कोड:% 1,Marathi
translate to Marathi: Tom was Mary's first husband.,टॉम मेरीचा पहिला नवरा होता.,Marathi
translate to Marathi: Look at me.,माझ्याकडे बघ.,Marathi
translate to Marathi: & Use visible bell,दृश्यास्प बेलचा वापर करा (U),Marathi
translate to Marathi: Tom and Mary are arguing with each other.,टॉम व मेरी एकमेकांबरोबर भांडत होते.,Marathi
translate to Marathi: The dart was poisoned! The poison was deadly... --More--,"बाण (भाला) विषारी होता , विष जहरी होते---अधिक---",Marathi
translate to Marathi: Bug report page at the KDE bug tracking system,@ info: status,Marathi
translate to Marathi: Clear Location bar Clears the contents of the location bar.,स्थान पट्टी नष्ट करा स्थान पट्टीचे अनुक्रम नष्ट करावे लागेल.,Marathi
translate to Marathi: (c) 2004 George Staikos,(c) 2004 George Staikos,Marathi
translate to Marathi: Writable Blu-ray disc,Writable Blu-ray डिस्क,Marathi
translate to Marathi: The main idea in his speech was unity.,त्याच्या भाषणातील मुख्य कल्पना म्हणजे एकता होती.,Marathi
translate to Marathi: States,स्तर,Marathi
translate to Marathi: The diagnosis is: The desktop file %1 could not be found.,शोध असा आहे की: डेस्कटॉप फाइल% 1 आढळला नाही.,Marathi
translate to Marathi: What do you call this fish in English?,या माश्याला इंग्रजीत काय म्हणतात?,Marathi
translate to Marathi: The architecture in this part of the city is ugly.,शहरातल्या या भागाची वास्तुकला कुरूप आहे.,Marathi
translate to Marathi: (In other frame),(इतर पटलात),Marathi
translate to Marathi: He's the oldest son.,तो सर्वात मोठा मुलगा आहे.,Marathi
translate to Marathi: Subject:,विषय (u):,Marathi
translate to Marathi: Welcome to %s at %n,"% s वर स्वागत आहे,% n येथे",Marathi
translate to Marathi: Open & File,फाइल उघडा (F),Marathi
translate to Marathi: He is drawing a picture.,तो चित्र काढतोय.,Marathi
translate to Marathi: Mail Alert,मेल सतर्कName,Marathi
translate to Marathi: Obviously.,स्पष्टपणे.,Marathi
translate to Marathi: Run %1,% 1 चालवा,Marathi
translate to Marathi: Hex grid,Hex ग्रीड,Marathi
translate to Marathi: Is she a taxi driver?,ती टॅक्सी चालक आहे का?,Marathi
translate to Marathi: I want a few empty glasses.,मला काही रिकामी ग्लासं हवी आहेत.,Marathi
translate to Marathi: We are from Russia.,आम्ही रशियापासून आहोत.,Marathi
translate to Marathi: This dream will come true.,हे स्वप्न खरं होईल.,Marathi
translate to Marathi: I'll wait for you here.,मी तुझी इथे वाट बघेन.,Marathi
"translate to Marathi: Packages being deleted due to unsatisfied dependencies These packages are being deleted because one or more of their dependencies is no longer available, or because another package conflicts with them.",समाधान न केल्या गेलेल्या परावलंबित्वांमुळे पॅकेजेस खोडून टाकण्यात आली ही पॅकेजेस खोडून टाकण्यात आली कारण त्यांच्यातील एक किंवा अधिक परावलंबित्वे यापुढे उपलब्ध नाहीत किंवा त्यांच्यासोबत दुसऱ्या पॅकेजेसचा विवाद (गोंधळ) उडतो.,Marathi
translate to Marathi: Bad number in format string: %ls,नमुना अक्षरसंचात खराब क्रमांक ः %ls,Marathi
translate to Marathi: The train finally arrived.,ट्रेन शेवटी पोचलीच.,Marathi
translate to Marathi: power profile,पावर प्रोफाइलNote this is a KRunner keyword,Marathi
translate to Marathi: & Zoom...,झूम (Z)...,Marathi
translate to Marathi: The actual browser identification text that will be sent to the remote machine.,प्रत्यक्ष ब्राऊजर ओळख पाठ्य जे दूरस्थ मशीन करीता पाठविले जाईल.,Marathi
translate to Marathi: screen brightness %1,पडदा तेजपणा,Marathi
translate to Marathi: System Monitor - Hardware Info,प्रणाली मॉनिटर - हार्डवेअर माहितीComment,Marathi
translate to Marathi: R. Awal,आर. थानी,Marathi
translate to Marathi: I wasn't doing anything.,मी काहीही करत नव्हते.,Marathi
translate to Marathi: Run test...,चाचणी चालवा...,Marathi
translate to Marathi: History Sidebar Module,वेब बाजूचीपट्टी,Marathi
translate to Marathi: Will this dictionary do?,ही डिक्शनरी चालेल का?,Marathi
translate to Marathi: Edit,संपादन करा@ title: group Script properties,Marathi
translate to Marathi: Tom believes that Mary is innocent.,टॉमला वाटतं की मेरी निर्दोष आहे.,Marathi
translate to Marathi: Change to Desktop 13,डेस्कटॉप 13 वर जाComment,Marathi
translate to Marathi: Recent notifications,Show all recent notifications,Marathi
translate to Marathi: Ongoing checksumming operation,कार्यरत चेकसम्मिंग क्रिया,Marathi
translate to Marathi: Unable to load Debconf::Element::%s. Failed because: %s,डेबकाॅन्फ::घटक::%s भरता आले नाहीत. असफल होण्याचे कारण: %s,Marathi
translate to Marathi: Tunisian Dinar,तुनीसीयाName,Marathi
"translate to Marathi: That's right, yes.","बरोबर, होय.",Marathi
"translate to Marathi: America, South","अमेरिका, दक्षिणीName",Marathi
translate to Marathi: Move card from waste,निरुपयोगी पत्त्यांमधून हलवा,Marathi
translate to Marathi: I swear to God.,देवाची शपथ घेते.,Marathi
translate to Marathi: Successfully connected to %1,यशस्वीरित्या% 1 शी जुळवणी स्थापीत केली,Marathi
translate to Marathi: Will he get well?,तो बरा होईल का?,Marathi
translate to Marathi: I didn't even kiss her.,मी तर तिला किसही केलं नाही.,Marathi
translate to Marathi: Wins:,विजय:,Marathi
translate to Marathi: of Pau,तमुज चाIndian National month 11 - ShortNamePossessive,Marathi
translate to Marathi: Screen Saver Settings,स्क्रीन सेवर संयोजनाName,Marathi
translate to Marathi: Japan is an industrial nation.,जपान हा एक औद्योगिक राष्ट्र आहे.,Marathi
translate to Marathi: Could not read font.,फॉन्ट वाचू शकले नाही.,Marathi
translate to Marathi: Casey lives in Tver.,केसी ट्वेरमध्ये राहतो.,Marathi
translate to Marathi: Name of the configuration file,संयोजना फाइलचे नाव@ action: inmenu,Marathi
translate to Marathi: Emoticons Manager,इमॉटिकॉन व्यवस्थापक,Marathi
translate to Marathi: The company has branches in 12 European countries.,कंपनीच्या १२ युरोपीय देशांमध्ये शाखा आहेत.,Marathi
translate to Marathi: [IGNORED],[IGNORED]((दुर्लक्ष केले),Marathi
translate to Marathi: This desk is broken.,हा डेस्क तुटलेला आहे.,Marathi
translate to Marathi: She just told me.,तिने आत्ताच मला सांगितलं.,Marathi
translate to Marathi: Sorting:,चिन्ह क्रमवारीत लावा:,Marathi
translate to Marathi: actionable %s is not focusable or selectable,क्रिया %s केंद्रजोगी किंवा निवडण्याजोगी नाही,Marathi
translate to Marathi: Icon size,चिन्हाचे आकार@ label,Marathi
translate to Marathi: Cattle would not eat grass where sheep had eaten.,"जिथे मेंढ्यांनी गवत खाल्लेलं असेल, तिथे गाई खात नसत.",Marathi
translate to Marathi: This is the latest fashion.,ही सर्वात नवीन फॅशन आहे.,Marathi
translate to Marathi: & Last Page,शेवटचे पान (L),Marathi
translate to Marathi: The certificate has been revoked,SSL error,Marathi
translate to Marathi: Screen saver started,स्क्रीन सेवरComment,Marathi
translate to Marathi: Waimea,वाईमियाComment,Marathi
translate to Marathi: Quit application,अनुप्रयोगातून बाहेर पडा,Marathi
translate to Marathi: This book is heavy.,हे पुस्तक जड आहे.,Marathi
translate to Marathi: The following packages are RECOMMENDED but will NOT be installed:,पुढील पॅकेजेस शिफारशीकृत आहेत परंतु संस्थापित करण्यात येणार नाहीत.,Marathi
translate to Marathi: SCSI storage controller,संदेश नियंत्रण,Marathi
translate to Marathi: Valentine,व्हॅलेंटाइन,Marathi
translate to Marathi: I ate lunch in a hurry.,मी घाईत जेवलो.,Marathi
translate to Marathi: He seldom went there.,ते क्वचितच तिथे गेले.,Marathi
translate to Marathi: XMovie,XMovieName,Marathi
translate to Marathi: He tries to improve his English.,तो आपली इंग्रजी सुधारायचा प्रयत्न करतो.,Marathi
translate to Marathi: S_maller Text,लहान पाठ्य(_m),Marathi
translate to Marathi: Tell me where to put these books.,ही पुस्तकं कुठे ठेवू मला सांग.,Marathi
translate to Marathi: Deleting downloaded files,डाउनलोडेड फाईल्स मिटवत आहे.,Marathi
translate to Marathi: Search Results for '%1 ':,'% 1' करीता शोध परिणाम:,Marathi
"translate to Marathi: kioclient download ['src '] # Copies the URL'src' to a user-specified location '. # 'src' may be a list of URLs, if not present then # a URL will be requested.","kioclient download ['src'] # Copies the URL 'src' to a user- specified location '. #' src 'may be a list of URLs, if not present then # a URL will be requested.",Marathi
translate to Marathi: Audio files,ऑडिओ फाइल्स्,Marathi
translate to Marathi: I haven't seen Tom today.,मी टॉमला आज बघितलं नाहीये.,Marathi
translate to Marathi: You'll understand it right away.,तु लगेचच समझशील।,Marathi
translate to Marathi: Grave,तीव्रnormal severity,Marathi
translate to Marathi: He took part in the race.,त्याने शर्यतीत भाग घेतला.,Marathi
translate to Marathi: All of my friends like soccer.,माझ्या सर्वच्या सर्व मित्रमैत्रिणींना सॉकर आवडतो.,Marathi
translate to Marathi: Use this button to mark your crash as related to the currently shown bug report. This will help the KDE developers to determine whether they are duplicates or not.,@ action: button,Marathi
translate to Marathi: Icons Only,फक्त चिन्ह,Marathi
translate to Marathi: PROJECT,PROJECT,Marathi
translate to Marathi: I'm sure everything will work out just fine.,सर्वकाही अगदी बर्‍यापैकी पार पडेल ह्याची मला खात्री आहे.,Marathi
translate to Marathi: I didn't think it could happen to me.,मला असं होऊ शकेल ह्याचा मी विचारच केला नव्हता.,Marathi
translate to Marathi: Bulgarian Lev A/ 99,बल्जेरियाName,Marathi
translate to Marathi: Unable to initialize SearchHandler from file '%1 '.,फाइल '% 1' पासून SearchHandler प्रारंभ करू शकले नाही.,Marathi
translate to Marathi: Use an _MD5 file to check the disc,डिस्क तपासण्याकरीता MD5 फाइल वापरा (_M),Marathi
translate to Marathi: Date and Time: %1,दिनांक व वेळ:% 1,Marathi
translate to Marathi: They're not mine.,ते माझे नाहीयेत.,Marathi
translate to Marathi: Configure the way cookies work,कुकीजचे कार्य करण्याजी पध्दत संयोजीत कराName,Marathi
translate to Marathi: She gave him a clock.,तिने त्याला एक घड्याळ दिलं.,Marathi
translate to Marathi: Royal Colors,राजेशाही रंगpalette name,Marathi
translate to Marathi: What is your mother tongue?,तुझी मातृभाषा काय आहे?,Marathi
translate to Marathi: Capture: %1,कॅपचर:% 1,Marathi
translate to Marathi: Internet Book List,इंटरनेट पुस्तक सूचीQuery,Marathi
translate to Marathi: This book is new.,हे पुस्तक नवीन आहे.,Marathi
translate to Marathi: Could not access %1. The drive %2 is not supported.,% 1 करीता प्रवेश प्राप्त करू शकत नाही. ड्राइव% 2 समर्थीत नाही.,Marathi
translate to Marathi: Vanuatu,वानुआटुName,Marathi
translate to Marathi: Are sandwiches OK for lunch?,जेवायला सँडविच चालतील का?,Marathi
translate to Marathi: Show directories first,प्रथम संचयीका दर्शवा,Marathi
translate to Marathi: We will never agree.,आम्ही कधीही सहमत होणार नाही.,Marathi
translate to Marathi: Encoding of mine-help.txt_BAR_UTF-8,mine -help.txt_BAR_UTF-8 चे कोडसंकेत तयार करीत आहे.,Marathi
translate to Marathi: There's a cat there.,तिथे एक मांजर आहे.,Marathi
translate to Marathi: Others,इतर@ item:: intable,Marathi
translate to Marathi: What do you do on Sundays?,तुम्ही रविवारी काय करता?,Marathi
translate to Marathi: High Surrogates,उच्च बदलKCharselect unicode block name,Marathi
translate to Marathi: Go to KDE Website,KDE संकेतस्थळावर जाComment,Marathi
translate to Marathi: Theme Name,प्रसंगाचे (विषय) नाव,Marathi
translate to Marathi: Right (270 degrees),उजवी (270 डिग्री),Marathi
translate to Marathi: Which rose do you see?,तुम्हाला कोणता गुलाब दिसत आहे?,Marathi
translate to Marathi: Encoding of help.txt_BAR_UTF-8,मदत मजकूर संकेत लिपित करत आहे युटीएफ 8,Marathi
translate to Marathi: & Revert,काढून टाका (R),Marathi
translate to Marathi: Matthias Hoelzer,Matthias Hoelzer,Marathi
translate to Marathi: Network Interfaces,संजाळ संवादपटComment,Marathi
translate to Marathi: Office,ऑफीसName,Marathi
translate to Marathi: Developer (Java applet support),डेव्हलपर (I/ O ऍपलेट समर्थन),Marathi
translate to Marathi: Bookmark Properties,ओळखचिन्ह गुणधर्म,Marathi
translate to Marathi: Detach Current Tab,वर्तमान टॅब अलग करा,Marathi
translate to Marathi: Floppy Device...,फ्लॉपी साधन... Comment,Marathi
translate to Marathi: Oxygen Colors,ऑक्सीजन रंगpalette name,Marathi
translate to Marathi: ^Try Ubuntu MID without installing,^उबुन्टू (MID ) वापरा (स्थापन न करता),Marathi
translate to Marathi: http: / /patft. uspto. gov/ netacgi/ nph-Parser? TERM1=\\\\{@}Sect1=PTO1Sect2=HITOFFd=PALLp=1u=/ netahtml/ srchnum. htmr=0f=Sl=50,http: // patft. uspto. gov/ netacgi/ nph- Parser? TERM1=\\\\ {@} Sect1=PTO1Sect2=HITOFFd=PALLp=1u=/ netahtml/ srchnum. htmr=0f=Sl=50Name,Marathi
translate to Marathi: Why are you here alone?,तुम्ही इथे एकटे का आहात?,Marathi
translate to Marathi: There's a cold wind from the north.,उत्तरेपासून थंड वारा येतोय.,Marathi
translate to Marathi: You must enter some text to search for.,शोध करीता तुम्ही काहिक पाठ्य प्रविष्ट केले पाहिजे.,Marathi
translate to Marathi: There's no evidence.,कोणताही पुरावा नाही आहे.,Marathi
translate to Marathi: Service Discovery,सेवा आढळलीComment,Marathi
translate to Marathi: I had a terrible dream.,मला एक भयानक स्वप्न पडलेलं.,Marathi
translate to Marathi: Religion was very important in the Middle Ages.,मध्ययुगात धर्म खूप महत्त्वाचा होता.,Marathi
translate to Marathi: The machine works by itself.,मशीन आपोआप चालते.,Marathi
"translate to Marathi: If this box is checked, Konqueror will draw a frame as a placeholder around images embedded in a web page that are not yet fully loaded. You will probably want to check this box to enhance your browsing experience, especially if have a slow network connection.",animations,Marathi
translate to Marathi: Error writing database '%1 '. Check that the permissions are correct on the directory and the disk is not full.,माहितीकोष '% 1' लिहीतेवेळी त्रुटी आढळली. कृपया संचयीका करीता सर्व हक्क योग्य आहेत व डिस्क मध्ये पुरेशी जागा आहे याची खात्री करा.,Marathi
"translate to Marathi: Not knowing what to do, I did nothing.","काय करायचं हे माहीत नसल्यामुळे, मी काहीच केलं नाही.",Marathi
translate to Marathi: The diagnosis is: The desktop file %1does not specify a library.,शोध असा आहे की: डेस्कटॉप फाइल% 1 लायब्ररी व्याख्यीत करत नाही.,Marathi
translate to Marathi: Plugin for the Properties Dialog,गुणधर्म संवाद करीता प्लगइनName,Marathi
translate to Marathi: Export Actions,क्रिया,Marathi
"translate to Marathi: Simon says: ""Stand!""","साय्मन म्हणतो: ""उभे रहा!""",Marathi
translate to Marathi: He plays baseball every day.,तो दररोज बेसबॉस खेळतो.,Marathi
translate to Marathi: Automatically load images,आपोआप प्रतिमा दाखल करा (u),Marathi
translate to Marathi: File Checksum,फाइल चेकसम,Marathi
translate to Marathi: Use setting from global policy.,जागतिक करार पासून संयोजना वापरा.,Marathi
translate to Marathi: Use current desktop theme color,वर्तमान डेस्कटॉप सुत्रयोजना रंग वापरा,Marathi
translate to Marathi: Battery Level,बॅटरी स्तर,Marathi
translate to Marathi: Edit normal tab title format,सर्वसाधारण टॅब शिर्षक स्वरूपन संपादीत करा,Marathi
translate to Marathi: Burn the image directly _without saving it to disc,डिस्कवर साठवल्या विना प्रतिमा प्रत्यक्षरित्या बर्न करा (_w),Marathi
translate to Marathi: the three of clubs,किलवरची तिर्री,Marathi
translate to Marathi: Copies any disc to a disc image,कुठल्याहि डिस्क ते डिस्क प्रतिमाचे प्रत निर्माण करतो,Marathi
translate to Marathi: Failed to create a thumbnail.,थंबनेल बनविण्यास अपयशी.,Marathi
translate to Marathi: Network Watcher,संजाळ एनॉलाइजरComment,Marathi
translate to Marathi: No Rotation,गोल फिरवू नका,Marathi
translate to Marathi: We could lose a lot more than that.,त्यापेक्षा भरपूर काही आपण गमवू शकतो.,Marathi
translate to Marathi: The cat is licking itself.,ती मांजर स्वतःला चाटत आहे.,Marathi
translate to Marathi: Email to:,प्रति ईमेल पाठवा:,Marathi
"translate to Marathi: Ignoring invalid priority ""%s""","अवैध अग्रक्रम ""%s"" दुर्लक्षिला जात आहे",Marathi
translate to Marathi: He's looking good.,तो चांगला दिसतोय.,Marathi
translate to Marathi: This theme does not contain a preview.,या सुत्रयोजना अंतर्गत पूर्वदृश्य समाविष्टीत नाही.,Marathi
translate to Marathi: I was out all day.,मी पूर्ण दिवस बाहेर होतो.,Marathi
translate to Marathi: http: / /www. wordreference. com/ fr/ Translation. asp? enfr=\\\\{@},http: // www. wordreference. com/ fr/ Translation. asp? enfr=\\\\ {@} Name,Marathi
